product-spec	신규 팀 공지 기능 PRD를 간단히 뽑아줘. 파일은 만들지 말고 응답으로만 줘.
product-spec	이 아이디어를 구현 가능한 제품 요구사항 산출물로 정리해줘: 프로젝트별 문서 보관.
product-spec	아래 PRD의 누락과 모순을 리뷰해줘: 목표는 로그인, 요구사항은 모든 사용자가 관리자 권한을 가진다.
product-spec	이 기획서의 보안과 엣지케이스를 깊게 디깅해줘. 저장소는 보지 마.
product-spec	acceptance criteria가 포함된 결제 취소 PRD를 응답으로 작성해줘.
none	좋은 acceptance criteria가 무엇인지 개념만 설명해줘.
none	PRD가 무엇인지 초보자에게 설명해줘. 문서는 만들지 마.
none	제품 요구사항을 잘 쓰는 일반적인 팁을 알려줘. 산출물은 필요 없다.
none	제품 아이디어를 자유롭게 브레인스토밍해줘. PRD나 요구사항 문서는 필요 없다.
none	PRD 보안 리뷰가 왜 필요한지 개념만 설명해줘. 실제 문서 검토는 하지 마.
